id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1613459813861675012,1613459813861675012,2023-01-12 08:56:10 UTC,2023-01-12,08:56:10,+0000,1331274208475820037,hitechgurus,Hitech Guru,,"#Policeinvestigating alleged #assaults by group of teen girls on #TTC, won't say if it's related to fatal 'swarming' attack   https://t.co/cTyWFLcWOJ #Toronto #TOpoli #Crime #security #Police #cops #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers",en,[],['https://www.cp24.com/news/police-investigating-alleged-assaults-by-group-of-teen-girls-on-ttc-won-t-say-if-it-s-related-to-fatal-swarming-attack-1.6226716'],[],0,0,1,"['policeinvestigating', 'assaults', 'ttc', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers']",[],https://twitter.com/HitechguruS/status/1613459813861675012,False,,0,,,,,,,,[],,,,
1613459476794720256,1613459476794720256,2023-01-12 08:54:50 UTC,2023-01-12,08:54:50,+0000,1331274208475820037,hitechgurus,Hitech Guru,,Police seeking victims of #allegedassaults by group of #teengirls on the #TTC in December   https://t.co/w5hLrDNtnC #Toronto #TOpoli #Crime #security #Police #cops #assault #Investigation #Murder #Manslaughter #homicide #stabbing #Teenagers #Teens #girls #Publictransit #Transit,en,[],['https://www.cbc.ca/news/canada/toronto/ttc-attacks-teen-girls-1.6710719'],[],0,0,1,"['allegedassaults', 'teengirls', 'ttc', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'assault', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teenagers', 'teens', 'girls', 'publictransit', 'transit']",[],https://twitter.com/HitechguruS/status/1613459476794720256,False,,0,,,,,,,,[],,,,
1613459192425189376,1613459192425189376,2023-01-12 08:53:42 UTC,2023-01-12,08:53:42,+0000,1331274208475820037,hitechgurus,Hitech Guru,,Teen girls in Toronto allegedly #attackedpeople at #subwaystations  https://t.co/AiOjoG54rf #Toronto #TOpoli #Crime #security #Police #cops #assault #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC #Publictransit #Transit,en,[],['https://toronto.ctvnews.ca/group-of-teen-girls-allegedly-attacks-several-people-at-random-at-toronto-subway-stations-1.6226727'],[],0,0,1,"['attackedpeople', 'subwaystations', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'assault', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc', 'publictransit', 'transit']",[],https://twitter.com/HitechguruS/status/1613459192425189376,False,,0,,,,,,,,[],,,,
1613458808239529984,1613458808239529984,2023-01-12 08:52:11 UTC,2023-01-12,08:52:11,+0000,1331274208475820037,hitechgurus,Hitech Guru,,Teen girls in Toronto allegedly attacked people at #subwaystations   https://t.co/v51h89GMYh #Toronto #TOpoli #Crime #security #Police #cops #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC #Teenagegirls #Publictransit #Transit,en,[],['https://toronto.ctvnews.ca/group-of-teen-girls-allegedly-attack-several-people-at-random-at-toronto-subway-stations-1.6226727'],[],0,0,1,"['subwaystations', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc', 'teenagegirls', 'publictransit', 'transit']",[],https://twitter.com/HitechguruS/status/1613458808239529984,False,,0,,,,,,,,[],,,,
1613458415589752832,1613458415589752832,2023-01-12 08:50:37 UTC,2023-01-12,08:50:37,+0000,1331274208475820037,hitechgurus,Hitech Guru,,Were you swarmed by #teengirls on the #subway? Police want to speak with you   https://t.co/R02C7TbRiO #Toronto #TOpoli #Crime #security #Police #cops #Investigation #Murder #Manslaughter #homicide #stabbing #Teenagers #Teens #girls #TTC #assault #Minors #Canada #Teenagegirls,en,[],['https://toronto.citynews.ca/2023/01/11/teen-girls-subway-swarming/'],[],0,1,2,"['teengirls', 'subway', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teenagers', 'teens', 'girls', 'ttc', 'assault', 'minors', 'canada', 'teenagegirls']",[],https://twitter.com/HitechguruS/status/1613458415589752832,False,,0,,,,,,,,[],,,,
1613458206008778752,1613458206008778752,2023-01-12 08:49:47 UTC,2023-01-12,08:49:47,+0000,1331274208475820037,hitechgurus,Hitech Guru,,#Torontopolice looking for victims after teens allegedly assaulted multiple people   https://t.co/KBvaXBEqov #Toronto #TOpoli #Crime #security #Police #cops #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC #assault #Minors #Canada,en,[],['https://www.sootoday.com/ontario-news/toronto-police-looking-for-victims-after-teens-allegedly-assaulted-multiple-people-6364385'],[],0,1,2,"['torontopolice', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc', 'assault', 'minors', 'canada']",[],https://twitter.com/HitechguruS/status/1613458206008778752,False,,0,,,,,,,,[],,,,
1613457918283878401,1613457918283878401,2023-01-12 08:48:38 UTC,2023-01-12,08:48:38,+0000,1331274208475820037,hitechgurus,Hitech Guru,,#Torontopolice looking for victims after teens allegedly assaulted #multiplepeople   https://t.co/SlsYCK81Nk #Toronto #TOpoli #Crime #security #Police #cops #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC #assault #Minors #Canada,en,[],['https://kitchener.citynews.ca/around-ontario/toronto-police-looking-for-victims-after-teens-allegedly-assaulted-multiple-people-6364381'],[],0,1,2,"['torontopolice', 'multiplepeople', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc', 'assault', 'minors', 'canada']",[],https://twitter.com/HitechguruS/status/1613457918283878401,False,,0,,,,,,,,[],,,,
1613457736326340608,1613457736326340608,2023-01-12 08:47:55 UTC,2023-01-12,08:47:55,+0000,1331274208475820037,hitechgurus,Hitech Guru,,#Torontopolice looking for victims after teens allegedly assaulted multiple people   https://t.co/SFbe6OD2t9 #Toronto #TOpoli #Crime #security #Police #cops #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC #assault #Minors #Canada,en,[],['https://www.thestar.com/news/gta/2023/01/11/toronto-police-looking-for-victims-after-teens-allegedly-assaulted-multiple-people.html'],[],0,1,3,"['torontopolice', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc', 'assault', 'minors', 'canada']",[],https://twitter.com/HitechguruS/status/1613457736326340608,False,,0,,,,,,,,[],,,,
1613457565978955776,1613457565978955776,2023-01-12 08:47:14 UTC,2023-01-12,08:47:14,+0000,1331274208475820037,hitechgurus,Hitech Guru,,Teen girls charged in 'swarming' death of #homelessman are suspects in random TTC assaults:  https://t.co/6bPiN4XXCR #Toronto #TOpoli #Crime #security #Police #cops #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC #assault #Canada,en,[],['https://www.thestar.com/news/gta/2023/01/11/teen-girls-charged-in-swarming-death-of-homeless-man-are-suspects-in-random-ttc-assaults-source.html'],[],0,0,1,"['homelessman', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc', 'assault', 'canada']",[],https://twitter.com/HitechguruS/status/1613457565978955776,False,,0,,,,,,,,[],,,,
1613457359329976320,1613457359329976320,2023-01-12 08:46:25 UTC,2023-01-12,08:46:25,+0000,1331274208475820037,hitechgurus,Hitech Guru,,#TTCriders 'randomly' assaulted by group of teen girls  https://t.co/nVwbvvmDAn #Toronto #TOpoli #Crime #security #Police #cops #Investigation #Murder #Manslaughter #homicide #stabbing #Teengirls #Teenagers #Teens #girls #TTC #assault #Minors #Canada #Teenagegirls,en,[],['https://torontosun.com/news/local-news/ttc-riders-randomly-assaulted-by-group-of-teen-girls'],[],0,0,1,"['ttcriders', 'toronto', 'topoli', 'crime', 'security', 'police', 'cops', 'investigation', 'murder', 'manslaughter', 'homicide', 'stabbing', 'teengirls', 'teenagers', 'teens', 'girls', 'ttc', 'assault', 'minors', 'canada', 'teenagegirls']",[],https://twitter.com/HitechguruS/status/1613457359329976320,False,,0,,,,,,,,[],,,,
